cg21237418,cg14001567,cg18396533,cg14672994,cg06630737,cg06834875,cg17820591,cg17927917,cg08912400,cg04809787,cg26163537,cg23696834,cg23749760,cg24101359,cg27522780,cg20025656,cg02867079,cg09619786,cg12281657,cg09052983,cg26200580,cg23214764,cg24178740,cg13134662,cg02595219,cg01185080,cg07360076,cg08727202,cg15835825,cg18107072,cg04749104,cg14170423,cg05970437,cg26453588,cg14204735,cg14849559,cg12613383,cg07895149,cg01457653,cg18877506,cg21700166,cg13488201,cg02914379,cg03005261,cg17679246,cg00651216,cg00273068,cg14892066,cg13097407,cg12800028
0.41448,0.02684,0.30128,0.07381,0.07919,0.58777,0.08901,0.05881,0.52809,0.11467,0.48716,0.04942,0.44069,0.06068,0.06146,0.54935,0.21415,0.04676,0.11393,0.05859,0.08491,0.07339,0.51151,0.09581,0.72903,0.13271,0.15014,0.33198,0.58167,0.54996,0.04143,0.64183,0.05806,0.28179,0.47402,0.02121,0.44337,0.05155,0.04307,0.02574,0.08885,0.05556,0.51974,0.81062,0.08443,0.0541,0.35664,0.05573,0.04622,0.78649
0.11624,0.03125,0.32549,0.11144,0.0711,0.67433,0.12495,0.05933,0.50457,0.13102,0.37012,0.06115,0.25783,0.04411,0.04755,0.16886,0.19528,0.07287,0.07705,0.07111,0.08681,0.08572,0.30866,0.09093,0.36938,0.09948,0.14124,0.35633,0.43899,0.18321,0.0853,0.5612,0.08272,0.21956,0.70279,0.03131,0.25102,0.0882,0.05458,0.03301,0.09398,0.06798,0.19085,0.16857,0.0465,0.06606,0.23515,0.08666,0.40335,0.57007
0.61231,0.02832,0.46549,0.57437,0.71067,0.78764,0.56763,0.53184,0.62046,0.4468,0.60825,0.56051,0.41608,0.67659,0.54931,0.65638,0.70042,0.59696,0.67242,0.51678,0.55595,0.62811,0.6761,0.41781,0.7143,0.48117,0.58356,0.65194,0.04477,0.55084,0.13429,0.58677,0.62165,0.74905,0.7037,0.53321,0.51107,0.08223,0.46542,0.55772,0.43522,0.58385,0.47523,0.65269,0.37869,0.41087,0.56956,0.17133,0.64814,0.28337
0.53081,0.02512,0.36656,0.60565,0.2701,0.74065,0.03738,0.25439,0.59072,0.32238,0.69952,0.69169,0.26495,0.87518,0.42503,0.69132,0.77217,0.58182,0.81345,0.59616,0.48716,0.47322,0.36703,0.18572,0.73136,0.1919,0.70836,0.54729,0.05479,0.62844,0.16528,0.65311,0.78602,0.65717,0.78586,0.63586,0.19314,0.09369,0.39588,0.68486,0.32719,0.64063,0.49879,0.76552,0.07861,0.16184,0.40506,0.36805,0.69725,0.12891
0.81524,0.0462,0.81008,0.6964,0.76764,0.81635,0.7096,0.66728,0.81026,0.6473,0.49337,0.75403,0.77993,0.94671,0.84556,0.77258,0.6794,0.8178,0.87797,0.77928,0.6054,0.78411,0.74846,0.19639,0.85923,0.63347,0.84855,0.52869,0.07162,0.82903,0.86108,0.79769,0.66043,0.88466,0.84922,0.80049,0.48225,0.89031,0.55349,0.61778,0.70762,0.79072,0.59418,0.88998,0.62704,0.53203,0.78403,0.54046,0.85122,0.13437
0.80814,0.03245,0.79413,0.7334,0.83809,0.7991,0.77138,0.72655,0.73737,0.80591,0.76635,0.69733,0.72117,0.81555,0.33096,0.74051,0.82709,0.7216,0.75695,0.69938,0.5117,0.75277,0.68366,0.43041,0.79347,0.83902,0.75196,0.75537,0.0552,0.69697,0.79052,0.74247,0.8012,0.84183,0.84339,0.70906,0.66306,0.80846,0.37844,0.75493,0.36419,0.72117,0.68836,0.84531,0.66808,0.66362,0.74253,0.56501,0.79221,0.21937
0.86012,0.03149,0.88189,0.86114,0.89926,0.77887,0.90282,0.73327,0.89526,0.87026,0.87551,0.82252,0.82656,0.95512,0.49514,0.8018,0.92128,0.89696,0.93074,0.87232,0.83467,0.91245,0.7661,0.216,0.94347,0.43798,0.93211,0.82099,0.04968,0.89456,0.79526,0.87048,0.9182,0.90773,0.89948,0.91176,0.75576,0.84744,0.47962,0.93016,0.83771,0.89675,0.84196,0.91838,0.79322,0.55396,0.85464,0.89499,0.94462,0.05685
0.23678,0.04103,0.43563,0.22731,0.08804,0.74802,0.09465,0.03327,0.54363,0.25246,0.35283,0.09635,0.23818,0.0752,0.05357,0.25107,0.35026,0.05561,0.28317,0.08069,0.10168,0.06272,0.45131,0.17914,0.43266,0.16399,0.09735,0.42826,0.05019,0.11311,0.2497,0.42324,0.08245,0.34257,0.31248,0.03209,0.16358,0.14478,0.09434,0.04369,0.11402,0.10732,0.25581,0.34127,0.05298,0.09281,0.28582,0.16812,0.24385,0.27802
0.72868,0.03283,0.78383,0.7574,0.83362,0.77672,0.6523,0.64341,0.79405,0.70192,0.78123,0.69831,0.73233,0.91777,0.66833,0.67238,0.78718,0.70693,0.76757,0.6767,0.30564,0.69837,0.73688,0.47453,0.81877,0.47165,0.84863,0.69127,0.05466,0.74627,0.59201,0.73872,0.61675,0.8196,0.84369,0.7124,0.6516,0.83076,0.52253,0.72467,0.61355,0.72061,0.70953,0.80064,0.61624,0.54985,0.73404,0.7341,0.81014,0.08765
0.62122,0.02972,0.73287,0.62865,0.75931,0.79488,0.66492,0.47642,0.68207,0.55954,0.68922,0.58674,0.54143,0.6724,0.38534,0.58928,0.717,0.35499,0.61678,0.51205,0.5124,0.57032,0.59222,0.32945,0.7473,0.62597,0.61141,0.68564,0.05306,0.5552,0.23602,0.63289,0.6392,0.67238,0.70157,0.49516,0.5486,0.6028,0.46072,0.54706,0.41706,0.54377,0.56632,0.64552,0.44392,0.38865,0.61081,0.46947,0.6805,0.18027
0.68633,0.02974,0.72245,0.66112,0.84314,0.77375,0.73727,0.52831,0.6603,0.64564,0.72825,0.66036,0.68688,0.73977,0.36452,0.71259,0.73585,0.44709,0.75137,0.59959,0.6872,0.72946,0.62354,0.56012,0.73338,0.69451,0.6301,0.70855,0.05993,0.60986,0.53525,0.68797,0.729,0.74249,0.77481,0.59138,0.34694,0.64511,0.72516,0.72924,0.37911,0.64696,0.66572,0.71453,0.35855,0.55699,0.63507,0.4792,0.78405,0.17463
0.78931,0.0414,0.66471,0.72918,0.85329,0.82498,0.79755,0.76188,0.78776,0.78575,0.7745,0.70752,0.75699,0.78062,0.512,0.67339,0.80873,0.73354,0.81305,0.71097,0.78285,0.77684,0.75296,0.70192,0.84426,0.79359,0.71053,0.73585,0.05999,0.72652,0.65031,0.75703,0.81982,0.82107,0.81798,0.70598,0.7159,0.22129,0.82552,0.72707,0.57455,0.75146,0.74765,0.8026,0.73601,0.7089,0.73269,0.71717,0.84164,0.29142
0.82423,0.03484,0.72374,0.82993,0.89197,0.83754,0.83851,0.80263,0.77415,0.81174,0.82846,0.78597,0.79448,0.909,0.72917,0.79073,0.88343,0.83203,0.88596,0.7664,0.68926,0.83754,0.61351,0.40369,0.87773,0.7884,0.83406,0.79812,0.07008,0.79295,0.26692,0.82177,0.92345,0.63497,0.86618,0.76917,0.52374,0.8049,0.56199,0.80088,0.61531,0.81769,0.75975,0.84784,0.39591,0.69449,0.79376,0.78915,0.91475,0.08338
0.57935,0.03218,0.64126,0.54446,0.69213,0.77676,0.57969,0.40207,0.48702,0.43301,0.60055,0.50214,0.59657,0.56873,0.46531,0.58799,0.59317,0.47781,0.5779,0.40834,0.49793,0.58392,0.54516,0.37464,0.63994,0.56181,0.41576,0.49458,0.05871,0.45184,0.5797,0.58294,0.54631,0.59328,0.64373,0.37161,0.4259,0.6289,0.48935,0.51751,0.42403,0.49076,0.50622,0.58234,0.42889,0.49144,0.49356,0.50396,0.6236,0.27874
0.80115,0.03392,0.80914,0.79976,0.84599,0.81684,0.6874,0.07703,0.81552,0.48047,0.8183,0.75447,0.49612,0.88032,0.6788,0.78832,0.87129,0.77627,0.85966,0.76328,0.82267,0.58589,0.60827,0.23902,0.88823,0.19059,0.819,0.52704,0.06571,0.78192,0.62184,0.76481,0.8467,0.79739,0.83671,0.74368,0.42157,0.10148,0.63535,0.77585,0.63971,0.76845,0.58922,0.84857,0.24452,0.59004,0.5015,0.78727,0.81262,0.10782
0.74143,0.03545,0.72673,0.61771,0.79812,0.84776,0.68855,0.66688,0.75162,0.59588,0.75909,0.6571,0.5772,0.70539,0.47807,0.62361,0.7631,0.63056,0.78536,0.64283,0.69567,0.66163,0.70632,0.64013,0.79276,0.54339,0.39021,0.7421,0.06818,0.67913,0.63631,0.71752,0.61996,0.62395,0.79952,0.46174,0.59035,0.77291,0.37823,0.54438,0.50815,0.70476,0.7034,0.8145,0.58322,0.4941,0.66598,0.43934,0.6533,0.10435
0.88991,0.03339,0.70229,0.78821,0.78334,0.85131,0.64668,0.82826,0.79583,0.71016,0.86671,0.79184,0.7222,0.86391,0.74352,0.78232,0.84972,0.68723,0.85156,0.76735,0.49677,0.36008,0.57529,0.15145,0.89025,0.41181,0.77924,0.70697,0.05029,0.80126,0.52158,0.78526,0.86667,0.82135,0.85892,0.78387,0.34347,0.85765,0.58409,0.82586,0.50095,0.81633,0.67049,0.87574,0.80211,0.06715,0.79634,0.80818,0.91518,0.12617
0.81326,0.03471,0.82847,0.80915,0.90544,0.81134,0.71227,0.66506,0.78804,0.55868,0.85171,0.80449,0.80883,0.87267,0.45134,0.78137,0.89341,0.82232,0.85387,0.78903,0.74765,0.84485,0.70457,0.49505,0.86887,0.85373,0.76559,0.78993,0.09582,0.80497,0.28343,0.79944,0.89051,0.74958,0.88741,0.78074,0.76889,0.84936,0.68975,0.85622,0.5571,0.78916,0.76662,0.86976,0.36514,0.704,0.62468,0.58077,0.69877,0.16387
0.80327,0.03469,0.67645,0.81906,0.91561,0.85856,0.84064,0.82063,0.82688,0.80432,0.83784,0.76635,0.80603,0.83625,0.77219,0.78248,0.86748,0.80042,0.88556,0.75596,0.80461,0.86464,0.39711,0.59929,0.90802,0.85331,0.82273,0.80328,0.07378,0.79459,0.7279,0.81294,0.91846,0.86867,0.84763,0.76526,0.62057,0.89442,0.48502,0.83656,0.5246,0.82093,0.79252,0.88169,0.62999,0.74852,0.7544,0.107,0.89502,0.29813
0.79001,0.03265,0.82977,0.79439,0.87461,0.82048,0.81268,0.72723,0.80908,0.31471,0.83078,0.75908,0.76134,0.90414,0.46111,0.78204,0.85851,0.81716,0.83178,0.74495,0.58404,0.62385,0.7181,0.50574,0.81788,0.84368,0.82337,0.78228,0.05586,0.76234,0.14112,0.79873,0.64826,0.85092,0.82865,0.75514,0.70197,0.83814,0.81405,0.80534,0.51913,0.74662,0.7674,0.84524,0.12662,0.64739,0.7515,0.52841,0.90591,0.08928
0.69491,0.03842,0.75184,0.70413,0.74294,0.77075,0.72362,0.67957,0.70611,0.56949,0.73124,0.64718,0.62607,0.76413,0.59592,0.71409,0.78931,0.66661,0.75417,0.58578,0.61835,0.72912,0.71977,0.36186,0.78202,0.65488,0.59061,0.74447,0.04354,0.64135,0.74294,0.68754,0.71789,0.76637,0.76936,0.48944,0.6414,0.76147,0.32307,0.67968,0.63168,0.69203,0.65495,0.75243,0.61678,0.53221,0.53874,0.76657,0.79291,0.17785
0.80715,0.03874,0.79634,0.65978,0.87645,0.80786,0.69134,0.62741,0.77768,0.79153,0.84386,0.76499,0.59777,0.79347,0.47017,0.79088,0.39945,0.59315,0.87295,0.77084,0.47981,0.76325,0.5349,0.32368,0.87876,0.57694,0.83121,0.64815,0.07168,0.80807,0.18929,0.79648,0.66946,0.84241,0.84949,0.79041,0.39667,0.71018,0.31074,0.85433,0.27841,0.84584,0.66426,0.87177,0.44873,0.54194,0.73962,0.46539,0.9484,0.07173
0.70893,0.04108,0.60901,0.69704,0.7104,0.78643,0.67307,0.63865,0.6996,0.68012,0.71661,0.66298,0.53829,0.70004,0.57685,0.69663,0.58266,0.67736,0.73249,0.60749,0.27095,0.72732,0.58175,0.42855,0.74483,0.49252,0.67595,0.55692,0.0503,0.65193,0.55578,0.68817,0.72006,0.70337,0.76989,0.62441,0.43967,0.74911,0.57489,0.71199,0.56109,0.65956,0.53008,0.714,0.37901,0.48172,0.64291,0.42905,0.72022,0.17748
0.77262,0.03571,0.70956,0.75546,0.88655,0.84631,0.80013,0.6866,0.81503,0.82277,0.81653,0.74492,0.76526,0.8463,0.74472,0.76833,0.85186,0.7832,0.8393,0.70058,0.63678,0.75357,0.78361,0.37848,0.85687,0.82494,0.83224,0.721,0.0586,0.78398,0.57296,0.8181,0.84723,0.84528,0.86232,0.80452,0.42873,0.81555,0.50258,0.83505,0.74207,0.76227,0.50495,0.8417,0.69286,0.58573,0.78008,0.56365,0.85238,0.22882
0.77789,0.02707,0.72263,0.68619,0.83137,0.82432,0.80514,0.71146,0.76745,0.75597,0.77198,0.72045,0.7472,0.80657,0.73693,0.70615,0.58626,0.72175,0.81904,0.72537,0.48065,0.6395,0.61426,0.55578,0.83178,0.76457,0.791,0.77391,0.05341,0.73147,0.68597,0.73418,0.62127,0.80805,0.84741,0.7516,0.70158,0.79069,0.69758,0.50194,0.52246,0.74694,0.71542,0.79674,0.4605,0.51487,0.71405,0.74194,0.38187,0.0763
0.75122,0.03011,0.82024,0.7621,0.84831,0.80526,0.7581,0.75558,0.79865,0.76887,0.80271,0.73392,0.74364,0.82193,0.69834,0.72491,0.86231,0.75657,0.80976,0.75745,0.77026,0.82327,0.74132,0.33881,0.80186,0.83912,0.81355,0.7802,0.06515,0.74044,0.83862,0.75111,0.86908,0.81589,0.79796,0.78586,0.70279,0.7675,0.81976,0.72289,0.48572,0.71037,0.62518,0.84575,0.61711,0.72301,0.75064,0.53414,0.84545,0.16105
0.81736,0.04079,0.78168,0.84114,0.8763,0.83078,0.83307,0.81467,0.87657,0.55724,0.84933,0.78606,0.81264,0.87569,0.87495,0.79326,0.93652,0.78516,0.90366,0.76941,0.62296,0.86398,0.78398,0.41322,0.87781,0.86864,0.85363,0.82026,0.05479,0.82746,0.69161,0.81239,0.77179,0.80624,0.85696,0.85638,0.79052,0.82285,0.41797,0.86488,0.79527,0.85181,0.76084,0.88674,0.73331,0.6493,0.83728,0.88852,0.67366,0.08585
0.7789,0.04906,0.79787,0.78337,0.82756,0.80287,0.7885,0.71034,0.81056,0.62094,0.78276,0.65918,0.72549,0.8023,0.65962,0.77334,0.77133,0.70347,0.84555,0.68317,0.75376,0.75435,0.74757,0.58967,0.8366,0.74601,0.79061,0.77529,0.05096,0.71303,0.81407,0.76103,0.84834,0.80366,0.78728,0.74507,0.67469,0.78686,0.72569,0.73456,0.72883,0.75269,0.71233,0.78208,0.6701,0.64918,0.76549,0.75829,0.80688,0.08834
0.7122,0.03487,0.71219,0.71135,0.75009,0.77894,0.7306,0.64475,0.74246,0.63318,0.71078,0.65381,0.69913,0.77894,0.47383,0.68317,0.59954,0.68263,0.65613,0.60981,0.6741,0.75213,0.70418,0.37092,0.76827,0.76723,0.70827,0.53192,0.04946,0.67568,0.757,0.69995,0.73495,0.77008,0.67618,0.69502,0.62641,0.75312,0.43436,0.66005,0.65235,0.66264,0.64015,0.74714,0.67856,0.64634,0.69162,0.62422,0.78734,0.2316
0.14846,0.04011,0.41037,0.11307,0.09357,0.44775,0.09196,0.05219,0.47908,0.17524,0.23278,0.06857,0.18092,0.05469,0.1111,0.26448,0.21629,0.04853,0.11179,0.07555,0.1085,0.05397,0.29935,0.08578,0.5746,0.22277,0.13422,0.42907,0.14563,0.10093,0.09403,0.26325,0.06431,0.39711,0.18642,0.02413,0.17458,0.05766,0.05437,0.03897,0.11627,0.14011,0.20536,0.23915,0.03873,0.07028,0.21956,0.08708,0.09857,0.5067
0.78337,0.03894,0.80855,0.73305,0.81756,0.79479,0.7899,0.73615,0.76292,0.64386,0.81303,0.69389,0.77931,0.75704,0.66109,0.77285,0.73017,0.76851,0.82257,0.75476,0.63307,0.81007,0.73636,0.56372,0.83392,0.78158,0.79861,0.78625,0.04877,0.73719,0.64515,0.74683,0.82354,0.7321,0.81132,0.75005,0.72237,0.72319,0.71046,0.7451,0.68476,0.76619,0.73376,0.85636,0.60662,0.65434,0.70667,0.75655,0.88475,0.08284
0.74635,0.03387,0.78075,0.75753,0.81763,0.82298,0.57871,0.54559,0.79022,0.41221,0.73536,0.75196,0.46487,0.75555,0.3309,0.73493,0.80422,0.74851,0.82715,0.69993,0.75416,0.7949,0.41077,0.16523,0.82844,0.31881,0.78081,0.75808,0.05265,0.73291,0.16489,0.74375,0.8752,0.55826,0.80798,0.7208,0.64281,0.06212,0.5062,0.73392,0.56519,0.69992,0.70854,0.8469,0.56958,0.3794,0.70464,0.50884,0.60535,0.08308
0.80883,0.04087,0.85196,0.82016,0.92409,0.80945,0.78192,0.7791,0.85407,0.768,0.68579,0.76794,0.77984,0.78833,0.55118,0.65626,0.9078,0.84322,0.88223,0.81212,0.8293,0.86628,0.8442,0.65399,0.91376,0.83571,0.7414,0.70849,0.04436,0.79457,0.82383,0.81392,0.89871,0.53094,0.836,0.7645,0.79964,0.71305,0.67332,0.30731,0.56904,0.82238,0.81794,0.90106,0.79648,0.73439,0.83373,0.29632,0.90931,0.0526
0.74035,0.02939,0.59536,0.70166,0.65256,0.80005,0.74887,0.6864,0.72992,0.66921,0.52638,0.6817,0.70669,0.87642,0.46021,0.72945,0.77912,0.68471,0.75706,0.67787,0.553,0.63925,0.55538,0.573,0.7531,0.76365,0.71174,0.69732,0.06206,0.67661,0.53357,0.69131,0.65526,0.76229,0.77501,0.68414,0.68359,0.78853,0.32076,0.54477,0.54062,0.66478,0.67267,0.79146,0.66564,0.45685,0.42586,0.2852,0.82962,0.49504
0.72349,0.03519,0.77259,0.67685,0.78807,0.79883,0.72047,0.67459,0.77119,0.68881,0.73474,0.65177,0.61128,0.69592,0.49015,0.65191,0.76875,0.67821,0.74161,0.64892,0.55681,0.69089,0.68925,0.50166,0.77751,0.49317,0.7444,0.69396,0.05392,0.67242,0.72443,0.70537,0.71995,0.69635,0.76205,0.67763,0.63879,0.63391,0.55043,0.70118,0.63345,0.7095,0.69495,0.76705,0.61364,0.50957,0.67487,0.32547,0.64996,0.12811
0.63215,0.02867,0.71101,0.58188,0.58809,0.7953,0.62668,0.53087,0.67509,0.57994,0.63364,0.54677,0.62185,0.7745,0.46862,0.60735,0.66348,0.54516,0.61481,0.49381,0.68088,0.58513,0.61283,0.27539,0.67895,0.5199,0.62846,0.6596,0.06273,0.54576,0.63419,0.64029,0.63486,0.64804,0.69061,0.5508,0.54377,0.60114,0.43679,0.52407,0.55908,0.56458,0.57248,0.63458,0.45428,0.45063,0.56136,0.56496,0.61461,0.23145
0.79932,0.03684,0.84244,0.83232,0.87914,0.79749,0.79961,0.72888,0.82842,0.77523,0.82004,0.75274,0.77473,0.80767,0.75096,0.74697,0.86324,0.76195,0.87337,0.75338,0.80314,0.81048,0.41971,0.2265,0.88885,0.67798,0.79587,0.73093,0.05318,0.76938,0.87619,0.7916,0.85258,0.82986,0.84481,0.85658,0.7446,0.83794,0.78724,0.77217,0.76135,0.80003,0.74027,0.82952,0.69132,0.71831,0.80066,0.75424,0.89595,0.49791
0.78807,0.0446,0.55249,0.80107,0.82518,0.81013,0.82259,0.77638,0.69426,0.79163,0.8179,0.76695,0.78815,0.93,0.37484,0.75113,0.84607,0.64824,0.87336,0.7936,0.80122,0.48675,0.51174,0.12315,0.86577,0.8077,0.81005,0.59329,0.05623,0.79334,0.5854,0.80692,0.7985,0.88262,0.81456,0.78355,0.13103,0.83568,0.71649,0.88108,0.61317,0.80833,0.49672,0.86044,0.52905,0.2709,0.82665,0.84601,0.89556,0.13301
0.80982,0.04288,0.60955,0.74274,0.84472,0.85185,0.78802,0.73831,0.77902,0.71419,0.77537,0.71147,0.69746,0.76661,0.69977,0.76306,0.89147,0.76627,0.83039,0.73248,0.79298,0.75238,0.70544,0.24588,0.85039,0.74672,0.75738,0.78206,0.0502,0.73777,0.78674,0.74491,0.78856,0.81605,0.82555,0.74961,0.70729,0.79398,0.78173,0.72608,0.66824,0.74709,0.77687,0.83593,0.60561,0.69024,0.71081,0.51686,0.87426,0.06266
0.7624,0.04086,0.76776,0.72581,0.83914,0.81991,0.726,0.74265,0.76026,0.74507,0.77472,0.69054,0.5918,0.94476,0.63979,0.7135,0.85567,0.73573,0.79914,0.68444,0.57422,0.67986,0.65882,0.23548,0.79487,0.64217,0.76166,0.72858,0.14961,0.7334,0.55971,0.7589,0.83035,0.83169,0.81627,0.67666,0.52537,0.79048,0.42764,0.7549,0.42712,0.73428,0.64035,0.79549,0.46641,0.54545,0.72969,0.58651,0.79452,0.46936
0.74276,0.03851,0.33895,0.65118,0.77882,0.78793,0.74259,0.69239,0.67524,0.70447,0.78633,0.65893,0.62726,0.70394,0.38126,0.7189,0.79607,0.50591,0.71829,0.63872,0.57731,0.27267,0.48745,0.46085,0.76063,0.5868,0.71912,0.55053,0.0477,0.64428,0.47154,0.66869,0.76001,0.422,0.81979,0.56507,0.3301,0.28642,0.37114,0.71026,0.45048,0.6584,0.67193,0.74395,0.25983,0.21671,0.61369,0.42533,0.61773,0.09614
0.16171,0.03805,0.55206,0.11743,0.06218,0.65862,0.08211,0.05189,0.59341,0.21367,0.34411,0.09669,0.19723,0.1233,0.09628,0.25304,0.23965,0.11112,0.41606,0.08807,0.11564,0.08878,0.56678,0.108,0.34599,0.22531,0.10479,0.41167,0.06159,0.12896,0.10826,0.45783,0.07581,0.37974,0.43617,0.03368,0.26921,0.06175,0.05665,0.05948,0.144,0.10637,0.28032,0.47441,0.04745,0.07059,0.38786,0.11233,0.33202,0.32286
0.21522,0.03036,0.16402,0.37605,0.12888,0.66852,0.04814,0.05856,0.27971,0.10041,0.19414,0.05043,0.11327,0.04957,0.1111,0.70474,0.10535,0.04789,0.9176,0.08107,0.07327,0.08374,0.24925,0.12878,0.57785,0.1546,0.04341,0.4137,0.06816,0.15996,0.07634,0.14683,0.09124,0.14089,0.25472,0.89267,0.11583,0.05776,0.05598,0.83041,0.07219,0.74992,0.56544,0.52169,0.08375,0.09799,0.33886,0.12417,0.04538,0.09589
